,chromosome,subsets,Q
5,"[ 2  7  4  5  7  6  7  8  1  1 15 14 13 16 13 13 13 18 19 22 24 28 21 27
 23 26 21 22 22 22 31 37 34 35 30 32 39 31 30 30 47 49 43 45 41 43 43 49
 43 44 53 55 53 50 49 57 59 56 57 56 65 64 69 62 63 62 69 63 67 66 73 70
 79 74 70 79 77 76 75 70 89 84 81 88 85 83 87 84 87 85 98 94 94 90 97 92
 94 98 90 90  1]","[{0, 1, 2, 3, 4, 100, 6, 7, 8, 9, 5}, {16, 10, 11, 12, 13, 14, 15}, {17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 33, 34, 35, 36, 37, 38, 39, 30, 31}, {49, 54, 40, 41, 44, 47}, {48, 42, 43, 45, 46}, {50, 52, 53}, {51, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 78, 79}, {76, 77}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",77.6470560393369
7,"[ 5  7  8  4  9  3  3  8  6  4 17 10 17 17 18 13 18 10 11 22 22 19 27 25
 19 29 21 23 22 28 37 34 34 39 32 33 38 34 36 33 44 44 39 45 49 49 39 40
 43 47 54 49 50 50 59 51 55 58 50 53 65 69 61 62 62 62 69 60 62 66 74 79
 76 71 73 77 73 72 70 77 81 85 85 85 80 81 87 80 86 92 98 92 97 90 97 93
 94 89 89 95  1]","[{0, 1, 2, 3, 4, 5, 6, 100, 7, 9, 8}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 34, 37, 30, 31}, {33, 35, 39, 42, 46}, {36, 38}, {40, 41, 43, 44, 45, 47, 48, 49, 51, 55, 56}, {50, 52, 53, 54, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88}, {96, 97, 98, 99, 89, 90, 91, 92, 93, 94, 95}]",79.66684385430632
27,"[  4 100   3   2   0   3   5   6   3  14  11  14  13  16  16  10  14  15
  19  21  19  23  19  24  22  27  21  19  29  28  31  30  39  35  30  34
  29  34  36  32  42  43  47  47  39  47  39  42  45  44  58  50  49  59
  55  56  59  58  57  63  65  69  60  59  67  69  65  61  62  67  71  76
  71  74  79  73  72  70  70  70  87  80  84  87  85  80  89  86  89  80
  89  98  91  96  91  99  98  94  99  98   1]","[{0, 4}, {1, 100}, {2, 3, 5, 6, 7, 8}, {9, 10, 11, 12, 13, 14, 15, 16, 17}, {18, 19, 20, 21, 22, 23, 24, 25, 26, 27}, {29, 36, 28, 38}, {33, 34, 35, 37, 30, 31}, {32, 49, 52, 39, 44, 46}, {48, 40, 41, 42, 43, 45, 47}, {57, 50, 51, 58}, {53, 54, 55, 56, 59, 63}, {64, 65, 66, 67, 68, 69, 60, 61, 62}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90}, {96, 97, 98, 99, 91, 92, 93, 94, 95}]",68.22311215238071
38,"[  6   9   4 100   6   0   7   0   7   4  11  14  11  19  17  10  18  16
  16  17  26  22  26  27  20  29  28  25  29  37  31  30  39  29  36  39
  39  30  32  38  47  40  40  47  49  42  43  42  47  51  51  55  53  50
  56  54  54  53  59  58  67  67  68  62  63  68  63  69  67  61  74  77
  79  79  70  77  77  70  76  71  82  80  81  82  82  81  87  88  86  92
  91  94  91  91  97  92  93  90  92  95   1]","[{0, 1, 2, 3, 4, 5, 6, 7, 100, 9, 8}, {10, 11, 12, 13, 14, 15, 16, 17, 18, 19}, {20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 37}, {32, 34, 35, 36, 38, 39}, {40, 41, 42, 43, 45, 46, 47, 48}, {44, 49, 50, 51, 52, 53, 54, 55, 56, 57}, {58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85}, {88, 86, 87}, {96, 97, 98, 99, 89, 90, 91, 92, 93, 94, 95}]",81.06931010104758
47,"[ 2  8  0  6  6  3  1  0  2 17 17 18 17 19 15 17 17 12 17 13 26 28 28 25
 20 22 20 19 21 25 37 34 35 32 37 31 39 39 39 35 47 40 45 45 43 42 44 49
 47 44 53 55 53 52 50 52 59 56 57 55 62 69 63 67 67 66 65 64 67 68 77 79
 77 76 73 71 72 72 70 74 81 85 80 82 80 83 87 84 83 80 91 96 98 95 91 94
 94 90 99 97  1]","[{0, 1, 2, 3, 100, 4, 6, 7, 8, 5}, {9, 10, 11, 12, 14, 15, 16, 17, 18}, {27, 19, 13}, {24, 26, 20}, {21, 22, 23, 25, 28, 29}, {32, 33, 34, 35, 36, 37, 38, 39, 30, 31}, {40, 41, 42, 43, 44, 45, 46, 47, 48, 49}, {50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 67, 68, 69, 60, 61, 62, 63}, {65, 66}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",82.71362457106459
55,"[ 5  9  9  4  1  6  5  0  1  2 13 17 17 10 17 17 17 12 11 27 27 22 25 25
 23 27 23 25 21 37 31 37 34 37 30 32 29 31 39 33 41 43 46 44 47 47 43 41
 45 52 52 49 55 59 55 56 57 56 55 54 67 64 66 61 63 68 65 64 67 62 71 79
 77 74 71 77 77 76 69 77 82 84 83 85 89 89 89 86 89 98 98 94 91 95 96 97
 98 95 99 98  3]","[{0, 5, 6, 7}, {1, 2, 3, 4, 100, 8, 9}, {10, 13}, {16, 17, 18, 11, 12, 14, 15}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {32, 33, 34, 35, 36, 37, 38, 39, 29, 30, 31}, {40, 41, 42, 43, 44, 45, 46, 47, 48}, {49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 78, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 94, 96, 98, 99}, {97, 93, 95}]",72.38884996031621
74,"[ 2  8  0  2  1  3  4  0  3 17 15 13 17 12 17 17 17 12 17 18 24 28 25 24
 22 26 25 23 20 37 37 35 33 29 32 32 34 36 35 38 41 44 39 47 43 49 39 44
 45 41 54 49 59 52 51 51 51 56 57 53 62 64 66 66 61 63 65 68 67 62 77 73
 77 75 71 71 72 75 70 72 87 80 84 85 89 84 89 89 83 88 96 90 94 92 97 92
 90 90 99 97  3]","[{0, 1, 2, 3, 4, 100, 5, 7, 8, 6}, {9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}, {20, 21, 22, 23, 24, 25, 26, 27, 28}, {29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 42, 46}, {40, 41, 43, 44, 45, 47, 48, 49, 50, 51, 54, 55, 56, 57, 58}, {59, 52, 53}, {65, 66, 69, 60, 62, 63}, {64, 61}, {67, 68}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",74.86770557089815
88,"[ 4  6  3  8  3  7  4  4  7 11 17 13 18 11 15 17 18 12 14 22 19 24 21 27
 20 27 28 23 22 25 31 35 39 32 32 33 37 34 35 35 49 40 40 45 39 47 43 43
 45 40 52 56 49 57 50 51 55 53 55 55 67 64 63 65 69 60 65 69 62 61 78 75
 76 72 76 79 79 76 75 70 89 84 84 87 85 81 87 83 86 97 89 90 95 98 96 93
 94 90 93 90  1]","[{0, 1, 2, 3, 4, 100, 6, 7, 8, 5}, {9, 11, 13}, {16, 17, 18, 10, 12, 14, 15}, {19, 20, 21, 22, 24, 26, 28}, {25, 27, 29, 23}, {32, 33, 34, 35, 36, 37, 38, 39, 44, 30, 31}, {49, 50, 52, 54, 40, 41, 42}, {48, 43, 45, 46, 47}, {51, 55, 56, 58, 59}, {57, 53}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 97, 99, 89, 90, 91}, {81, 82, 84, 85}, {88, 83, 86, 87}, {98, 92, 93, 95}, {96, 94}]",74.32645163260369
106,"[  9 100   6 100   3   0 100   2   6  19  17  17  11  12  11  17  14  13
  16  27  24  19  20  25  21  23  22  26  29  22  39  32  33  32  36  31
  39  30  35  34  44  47  43  46  46  43  42  49  47  41  56  55  49  52
  50  57  55  53  55  63  65  64  63  59  63  66  69  59  67  62  74  72
  77  76  73  71  79  79  75  76  89  80  81  88  89  81  89  83  89  88
  93  93  94  96  92  97  90  99  93  97   6]","[{0, 5, 9, 19, 20, 21, 22, 24, 26, 27, 28, 29}, {1, 2, 3, 100, 4, 6, 7, 8}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {25, 23}, {34, 36, 37, 39, 30}, {32, 33, 35, 38, 31}, {40, 42, 43, 44, 45, 46}, {41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58}, {64, 65, 66, 67, 68, 69, 59, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 98, 90, 91, 93}, {92, 94}, {97, 99, 95}]",79.59225186806229
116,"[ 7  7  3  5  1  3  1  8  2 11 13  9 17 16 18 10 17 16 12 26 22 23 28 24
 20 26 21 22 21 33 38 32 35 35 36 33 37 36 36 44 41 43 43 46 43 47 42 45
 45 41 51 50 55 59 59 52 53 56 57 49 65 62 66 69 63 63 62 59 65 68 77 79
 71 75 71 71 79 79 70 74 81 80 85 87 80 84 88 86 87 90 99 92 97 98 96 94
 93 95 90 97  3]","[{0, 1, 2, 3, 100, 5, 4, 7, 8, 6}, {9, 11}, {10, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {32, 33, 35, 29, 31}, {34, 36, 37, 38, 30}, {67, 39, 40, 41, 42, 43, 44, 46, 49, 53, 54, 56, 57, 58, 59}, {48, 45, 47}, {50, 51}, {52, 55}, {64, 65, 68, 69, 60, 63}, {66, 61, 62}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 84, 85}, {88, 83, 86, 87}, {89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99}]",71.98802766679422
141,"[ 6  9  3  5  0  7  3  0  6  6 11 17 17 14 18 17 13 12 14 24 19 24 24 26
 20 23 19 23 22 37 31 37 35 37 35 34 34 33 39 36 42 47 46 48 49 48 42 48
 47 44 58 56 59 50 51 57 54 58 55 58 67 67 63 65 62 66 65 60 65 72 78 79
 73 76 73 78 71 70 70 72 84 80 83 87 80 80 89 86 87 82 91 93 93 98 91 94
 90 99 91 95  7]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 100}, {17, 10, 11, 12, 15}, {16, 18, 13, 14}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {33, 37, 29, 30, 31}, {32, 34, 35, 36, 38, 39}, {40, 42, 46}, {48, 41, 43, 45, 47}, {49, 44}, {50, 52, 53, 55, 57, 58, 59}, {56, 51, 54}, {67, 60, 61}, {64, 65, 66, 68, 62, 63}, {69, 71, 72, 73, 74, 76, 79}, {78, 75, 77, 70}, {80, 81, 84, 85}, {82, 83, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",75.57218926719887
144,"[  9   9   3   2   3   6   3 100   3  11  15  17  13  19  13  10  14  16
  16  13  22  28  28  26  21  26  28  22  22  33  37  34  31  29  39  33
  37  31  35  34  47  44  46  48  40  47  42  41  47  45  54  50  49  54
  55  59  59  56  57  56  62  63  69  66  63  60  65  61  62  61  71  76
  77  72  71  71  74  70  75  71  89  82  85  88  85  82  87  84  89  81
  93  96  91  96  92  97  90  99  89  95   6]","[{0, 1, 9, 11, 12, 13, 14, 16, 17, 18, 19}, {2, 3, 4, 100, 6, 5, 8, 7}, {10, 15}, {20, 21, 22, 23, 24, 25, 26, 27, 28}, {33, 35, 29, 38}, {32, 34, 36, 37, 39, 30, 31}, {40, 41, 43, 44, 45, 47, 48, 49, 52}, {42, 46}, {50, 51, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {98, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 90, 91, 92, 93, 94}, {97, 99, 95}]",77.90601905334601
154,"[ 2  7  4  2  7  0  7  2  6  1 15 18 13 16 16 10 14 16 14 21 26 28 24 24
 21 23 28 20 21 36 34 32 31 37 37 39 34 33 36 46 42 39 43 48 46 42 42 49
 45 44 53 56 55 56 55 54 59 53 55 49 67 69 60 69 69 66 63 60 69 64 78 79
 76 79 79 77 77 76 70 76 81 85 84 88 82 82 88 88 83 81 97 90 98 95 96 97
 93 99 99 98  3]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 100}, {10, 15}, {16, 17, 18, 11, 12, 13, 14}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {33, 34, 36, 37, 38, 29, 30}, {32, 31}, {35, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 56, 57, 59}, {58, 52, 54, 55}, {67, 60, 62}, {64, 65, 66, 68, 69, 61, 63}, {78, 70}, {71, 72, 73, 74, 75, 76, 77, 79}, {80, 81, 82, 84, 85, 89}, {88, 83, 86, 87}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",84.01221070860637
163,"[ 5  4  8  2  9  3  5  6  2 14 17 10 11 12 17 10 17 16 14 24 19 19 20 26
 19 26 23 19 29 33 34 37 33 37 35 34 37 29 35 36 44 44 47 42 41 42 39 42
 43 44 53 56 50 56 56 52 54 56 50 54 67 69 61 67 67 62 63 60 62 65 71 77
 71 72 70 79 78 72 70 71 85 82 84 85 80 84 87 84 87 81 93 92 95 98 95 93
 91 98 97 95  3]","[{0, 2, 3, 100, 5, 6, 7, 8}, {1, 4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 24, 27}, {25, 26, 23}, {32, 33, 36, 37, 39, 46, 28, 29, 31}, {34, 35, 38, 30}, {40, 49, 44, 41}, {48, 42, 43, 45, 47}, {50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 66, 67, 60, 63}, {65, 68, 69, 61, 62}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",76.49293764698847
183,"[ 9  8  9  5  2  6  0  4  6  4 11 18 13 16 17 10 14 10 17 21 19 23 25 21
 20 26 22 25 20 33 38 34 38 35 39 38 38 30 35 32 42 43 47 48 49 42 39 41
 43 47 52 56 53 57 51 59 59 53 50 58 67 63 59 59 61 66 65 61 67 61 79 73
 71 70 76 78 79 79 76 76 89 82 89 85 87 81 87 86 86 84 97 92 98 96 91 99
 98 95 91 98  3]","[{0, 1, 2, 3, 4, 100, 6, 5, 8, 9, 7}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 23, 24, 28}, {25, 26, 27, 22}, {32, 33, 34, 35, 36, 37, 38, 39, 46, 29, 30, 31}, {40, 41, 42, 43, 44, 45, 47, 48, 49}, {64, 67, 68, 69, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63}, {65, 66}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",75.70432131362175
191,"[  9   6   6   4   6   3   5 100   1   6  11  10  18  17  18  10  13  15
  17  27  28  23  26  27  19  27  21  23  22  37  38  37  35  29  32  31
  38  31  39  42  44  49  46  48  49  48  42  43  45  47  51  55  50  54
  49  58  53  53  57  53  67  64  63  64  67  69  69  68  62  63  73  70
  71  76  76  73  78  70  70  71  87  84  85  85  87  84  88  86  83  90
  93  98  89  91  91  93  90  92  99  95   3]","[{0, 1, 2, 3, 4, 5, 6, 100, 8, 9, 7}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28}, {32, 33, 34, 35, 37, 29, 31}, {36, 30, 38, 39, 42, 46}, {40, 41, 43, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88}, {96, 97, 98, 99, 89, 90, 91, 92, 93, 94, 95}]",77.57370652618569
192,"[ 2  4  8  2  6  3  7  1  1 19 15 13 13 15 16 17 13 14 17 21 27 19 28 26
 21 23 23 19 22 36 39 37 35 32 39 39 37 31 30 37 41 44 40 44 47 49 42 41
 43 40 52 50 53 52 50 51 57 53 57 58 65 67 63 64 62 69 69 63 67 68 77 70
 73 75 79 71 71 72 69 72 81 89 84 87 81 80 88 88 89 90 89 92 98 91 95 93
 90 92 96 90  3]","[{0, 1, 2, 3, 4, 100, 6, 7, 8, 5}, {19, 20, 21, 24, 9, 27}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {28, 22}, {25, 26, 23}, {29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}, {40, 41, 42, 43, 44, 45, 46, 47, 48, 49}, {50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 78, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99}]",75.81333080215235
204,"[ 6  9  9  5  9  0  5  8  7  1 17 17 11 17 17 13 18 10 12 21 22 23 20 21
 22 26 22 26 22 33 34 37 39 37 37 38 37 30 30 44 47 43 39 42 46 49 44 41
 47 44 51 55 49 50 50 58 57 53 55 62 65 63 60 59 61 60 63 61 69 67 77 76
 77 75 70 73 72 76 76 77 84 80 81 82 80 89 88 88 83 80 97 93 97 92 92 97
 93 92 96 90  6]","[{0, 3, 100, 5, 6}, {1, 2, 4, 9}, {8, 7}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 21, 23}, {20, 22, 24, 25, 26, 27, 28}, {33, 34, 35, 36, 37, 38, 29, 30, 31}, {32, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 52}, {50, 51, 53, 54, 55, 56, 57, 58}, {64, 65, 66, 67, 68, 69, 59, 60, 61, 62, 63}, {70, 71, 72, 74, 76, 77, 78, 79}, {73, 75}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",68.29729199449491
236,"[ 5  9  8  8  6  0  8  6  3  6 15 14 17 15 11 13 17 11 19 17 22 26 24 24
 20 26 28 19 22 37 39 35 34 35 30 39 38 33 30 46 44 39 45 48 47 48 39 43
 47 47 54 56 53 52 59 58 55 58 55 56 67 67 69 64 61 63 63 68 67 63 74 74
 79 74 70 78 74 71 75 85 82 82 81 88 81 81 88 89 86 80 97 90 93 95 97 92
 98 92 99 97  1]","[{0, 5}, {1, 2, 3, 100, 4, 6, 7, 8, 9}, {10, 13, 15}, {11, 12, 14, 16, 17, 18, 19, 27}, {20, 21, 22, 23, 24, 25, 26, 28}, {29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 46}, {40, 42, 43, 44, 45, 47, 48, 49}, {50, 51, 54, 55, 56, 57, 58, 59}, {52, 53}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 73, 74, 76, 77}, {72, 79, 80, 81, 82, 84, 85, 87, 89}, {75, 78}, {88, 83, 86}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",73.55246416449707
238,"[  6   9   3   8   0   7 100   5   2   6  17  18  17  17   9  13  17  16
  12  18  24  28  26  27  23  22  25  26  22  25  39  30  34  35  39  39
  38  39  35  30  41  40  45  45  43  48  44  48  47  54  54  49  55  56
  59  54  54  55  59  55  62  67  63  65  69  62  62  60  69  63  73  72
  77  79  70  73  71  79  70  75  87  85  89  82  89  82  88  89  83  84
  96  94  97  91  95  99  93  94  90  90   3]","[{0, 1, 2, 3, 100, 4, 6, 8, 9, 14}, {5, 7}, {10, 11, 12, 13, 15, 16, 17, 18, 19}, {20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 33, 34, 35, 36, 37, 38, 39, 30, 31}, {40, 41}, {48, 42, 43, 44, 45, 46, 47}, {49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",82.19872665553392
239,"[ 7  6  3  4  9  7  2  1  7 11 17 18 11 14 17 14 13 15 16 22 26 19 24 25
 20 23 22 23 20 37 34 37 34 29 37 33 34 36 35 46 42 40 46 42 40 42 42 41
 45 59 51 49 49 52 49 57 51 53 59 62 62 64 59 62 61 69 65 60 62 62 73 70
 73 74 73 78 73 75 76 72 82 85 81 88 89 80 87 88 87 85 91 98 94 90 97 94
 91 92 91 95  3]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 100}, {19, 20, 21, 22, 24, 26, 28}, {25, 27, 23}, {32, 33, 34, 35, 36, 37, 38, 29, 30, 31}, {39, 40, 41, 42, 43, 44, 45, 46, 47, 48}, {65, 66, 67, 68, 69, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63}, {64, 61}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 84, 85, 89}, {88, 83, 86, 87}, {96, 98, 90, 91, 93}, {97, 99, 92, 94, 95}]",71.31567836895039
246,"[ 4  8  4  5  7  0  0  6  2  1 17 10 13 16 17 14 14 18 16 27 24 22 29 21
 21 27 20 20 21 28 38 34 38 35 32 38 39 30 36 36 44 40 39 41 43 47 43 48
 43 40 52 50 53 50 53 54 50 53 57 56 65 63 61 62 67 68 63 60 62 62 78 74
 71 76 79 78 74 71 70 87 79 85 80 82 82 79 88 88 87 80 97 92 93 95 91 97
 93 98 97 97  6]","[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 100}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 33, 34, 35, 36, 37, 38, 39, 42, 30, 31}, {40, 41, 43, 44, 45, 46, 47, 48, 49}, {50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {78, 75, 70}, {71, 72, 73, 74, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 97, 98, 99, 90, 91, 92, 93, 94, 95}]",75.20181691520703
249,"[ 7  8  6  4  3  6  0  0  3  2 11 13 18 16 15 13 13 10 19 20 24 23 25 24
 23 22 28 26 29 25 31 37 31 32 30 33 38 36 39 36 47 40 45 48 40 48 39 43
 47 47 56 54 49 59 59 56 57 53 55 52 65 69 69 61 61 62 65 63 62 64 78 70
 77 72 79 78 77 70 70 77 84 80 84 85 80 82 89 84 87 88 93 92 93 98 95 94
 93 95 91 95  7]","[{0, 2, 100, 5, 6, 7, 9}, {8, 1, 3, 4}, {16, 17, 10, 11, 13, 14, 15}, {12, 18, 19, 20, 21, 23, 24}, {22, 25, 26, 27, 28, 29}, {32, 33, 34, 35, 36, 37, 38, 39, 46, 30, 31}, {40, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 83, 84, 85, 86, 87, 88, 89}, {96, 98, 90, 91, 92, 93}, {97, 99, 94, 95}]",73.85672723861272
258,"[  2   4   0 100   1   0   1   2   7   0  11  17  13  11  15  13  17  15
  12  27  19  22  26  21  19  26  25  25  22  25  34  34  34  37  32  32
  38  33  39  32  47  49  40  42  41  48  44  44  43  40  56  54  50  52
  50  52  50  53  57  54  62  69  61  69  69  60  65  60  65  65  79  72
  79  72  73  71  72  76  70  74  82  89  84  88  85  89  88  89  86  92
  98  94  91  90  96  93  94  92  91  98   7]","[{0, 2, 3, 100, 5, 7, 8, 9}, {1, 4, 6}, {10, 11, 12, 13, 14, 15, 16, 17, 18}, {19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}, {32, 34, 35, 36, 38, 39, 30, 31}, {33, 37}, {40, 41, 42, 43, 44, 45, 46, 47, 48, 49}, {50, 51, 52, 53, 54, 55, 56, 57, 58, 59}, {64, 65, 66, 67, 68, 69, 60, 61, 62, 63}, {70, 71, 72, 73, 74, 75, 76, 77, 78, 79}, {80, 81, 82, 84, 85, 87, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99}, {88, 83, 86}]",73.81536022849288
